location_id,district,city,location_name
1,quận 1,hồ chí minh,"quận 1, hồ chí minh"
2,tân bình,hồ chí minh,"tân bình, hồ chí minh"
3,quận 9,hồ chí minh,"quận 9, hồ chí minh"
4,nam từ liêm,hà nội,"nam từ liêm, hà nội"
5,gia lâm,hà nội,"gia lâm, hà nội"
6,đống đa,hà nội,"đống đa, hà nội"
7,cầu giấy,hà nội,"cầu giấy, hà nội"
8,hai bà trưng,hà nội,"hai bà trưng, hà nội"
9,hoài đức,hà nội,"hoài đức, hà nội"
10,bình thạnh,hồ chí minh,"bình thạnh, hồ chí minh"
11,nhà bè,hồ chí minh,"nhà bè, hồ chí minh"
12,quận 7,hồ chí minh,"quận 7, hồ chí minh"
13,quận 10,hồ chí minh,"quận 10, hồ chí minh"
14,phú nhuận,hồ chí minh,"phú nhuận, hồ chí minh"
15,tây hồ,hà nội,"tây hồ, hà nội"
16,quận 2,hồ chí minh,"quận 2, hồ chí minh"
17,bình tân,hồ chí minh,"bình tân, hồ chí minh"
18,quận 3,hồ chí minh,"quận 3, hồ chí minh"
19,tân uyên,bình dương,"tân uyên, bình dương"
20,hà đông,hà nội,"hà đông, hà nội"
21,quận 4,hồ chí minh,"quận 4, hồ chí minh"
22,hải châu,đà nẵng,"hải châu, đà nẵng"
23,hoàng mai,hà nội,"hoàng mai, hà nội"
24,thủ đức,hồ chí minh,"thủ đức, hồ chí minh"
25,thanh xuân,hà nội,"thanh xuân, hà nội"
26,gò vấp,hồ chí minh,"gò vấp, hồ chí minh"
27,vũng tàu,bà rịa vũng tàu,"vũng tàu, bà rịa vũng tàu"
28,long thành,đồng nai,"long thành, đồng nai"
29,quận 12,hồ chí minh,"quận 12, hồ chí minh"
30,dĩ an,bình dương,"dĩ an, bình dương"
31,quận 8,hồ chí minh,"quận 8, hồ chí minh"
32,tân phú,hồ chí minh,"tân phú, hồ chí minh"
33,quảng yên,quảng ninh,"quảng yên, quảng ninh"
34,bắc từ liêm,hà nội,"bắc từ liêm, hà nội"
35,quận 5,hồ chí minh,"quận 5, hồ chí minh"
36,ba đình,hà nội,"ba đình, hà nội"
37,hoàn kiếm,hà nội,"hoàn kiếm, hà nội"
38,bình chánh,hồ chí minh,"bình chánh, hồ chí minh"
39,quy nhơn,bình định,"quy nhơn, bình định"
40,thuận an,bình dương,"thuận an, bình dương"
41,bà rịa,bà rịa vũng tàu,"bà rịa, bà rịa vũng tàu"
42,long đất,bà rịa vũng tàu,"long đất, bà rịa vũng tàu"
43,thủ dầu một,bình dương,"thủ dầu một, bình dương"
44,phú mỹ,bà rịa vũng tàu,"phú mỹ, bà rịa vũng tàu"
45,văn giang,hưng yên,"văn giang, hưng yên"
46,hóc môn,hồ chí minh,"hóc môn, hồ chí minh"
47,phan thiết,bình thuận,"phan thiết, bình thuận"
48,cái răng,cần thơ,"cái răng, cần thơ"
49,biên hòa,đồng nai,"biên hòa, đồng nai"
50,gò dầu,tây ninh,"gò dầu, tây ninh"
51,long biên,hà nội,"long biên, hà nội"
52,đức hòa,long an,"đức hòa, long an"
53,thanh trì,hà nội,"thanh trì, hà nội"
54,mê linh,hà nội,"mê linh, hà nội"
55,thạch thất,hà nội,"thạch thất, hà nội"
56,ngô quyền,hải phòng,"ngô quyền, hải phòng"
57,nha trang,khánh hòa,"nha trang, khánh hòa"
58,văn lâm,hưng yên,"văn lâm, hưng yên"
59,củ chi,hồ chí minh,"củ chi, hồ chí minh"
60,yên mỹ,hưng yên,"yên mỹ, hưng yên"
61,mỹ hào,hưng yên,"mỹ hào, hưng yên"
62,tây ninh,tây ninh,"tây ninh, tây ninh"
63,bắc giang,bắc giang,"bắc giang, bắc giang"
64,quốc oai,hà nội,"quốc oai, hà nội"
65,đan phượng,hà nội,"đan phượng, hà nội"
66,quận 6,hồ chí minh,"quận 6, hồ chí minh"
67,bến lức,long an,"bến lức, long an"
68,hớn quản,bình phước,"hớn quản, bình phước"
69,đông anh,hà nội,"đông anh, hà nội"
70,an lão,hải phòng,"an lão, hải phòng"
71,lê chân,hải phòng,"lê chân, hải phòng"
72,tiên lãng,hải phòng,"tiên lãng, hải phòng"
73,bến cát,bình dương,"bến cát, bình dương"
74,cẩm lệ,đà nẵng,"cẩm lệ, đà nẵng"
75,long khánh,đồng nai,"long khánh, đồng nai"
76,chơn thành,bình phước,"chơn thành, bình phước"
77,ninh hải,ninh thuận,"ninh hải, ninh thuận"
78,an dương,hải phòng,"an dương, hải phòng"
79,cần giuộc,long an,"cần giuộc, long an"
80,việt trì,phú thọ,"việt trì, phú thọ"
81,hồng bàng,hải phòng,"hồng bàng, hải phòng"
82,rạch giá,kiên giang,"rạch giá, kiên giang"
83,vinh,nghệ an,"vinh, nghệ an"
84,hội an,quảng nam,"hội an, quảng nam"
85,sơn trà,đà nẵng,"sơn trà, đà nẵng"
86,thanh hóa,thanh hóa,"thanh hóa, thanh hóa"
87,quận 11,hồ chí minh,"quận 11, hồ chí minh"
88,hải an,hải phòng,"hải an, hải phòng"
89,long điền,bà rịa vũng tàu,"long điền, bà rịa vũng tàu"
90,lạng giang,bắc giang,"lạng giang, bắc giang"
91,vị thanh,hậu giang,"vị thanh, hậu giang"
92,thuận thành,bắc ninh,"thuận thành, bắc ninh"
93,lý nhân,hà nam,"lý nhân, hà nam"
94,hoa lư,ninh bình,"hoa lư, ninh bình"
95,bắc tân uyên,bình dương,"bắc tân uyên, bình dương"
96,hà tĩnh,hà tĩnh,"hà tĩnh, hà tĩnh"
97,ninh kiều,cần thơ,"ninh kiều, cần thơ"
98,liên chiểu,đà nẵng,"liên chiểu, đà nẵng"
99,thanh khê,đà nẵng,"thanh khê, đà nẵng"
100,ngũ hành sơn,đà nẵng,"ngũ hành sơn, đà nẵng"
101,thanh oai,hà nội,"thanh oai, hà nội"
102,phú giáo,bình dương,"phú giáo, bình dương"
103,bắc ninh,bắc ninh,"bắc ninh, bắc ninh"
104,châu đức,bà rịa vũng tàu,"châu đức, bà rịa vũng tàu"
105,triệu sơn,thanh hóa,"triệu sơn, thanh hóa"
106,sông công,thái nguyên,"sông công, thái nguyên"
107,đông hà,quảng trị,"đông hà, quảng trị"
108,thủy nguyên,hải phòng,"thủy nguyên, hải phòng"
109,sóc sơn,hà nội,"sóc sơn, hà nội"
110,diên khánh,khánh hòa,"diên khánh, khánh hòa"
111,chí linh,hải dương,"chí linh, hải dương"
112,nhơn trạch,đồng nai,"nhơn trạch, đồng nai"
113,hạ long,quảng ninh,"hạ long, quảng ninh"
114,đà lạt,lâm đồng,"đà lạt, lâm đồng"
115,bình thủy,cần thơ,"bình thủy, cần thơ"
116,tân biên,tây ninh,"tân biên, tây ninh"
117,ô môn,cần thơ,"ô môn, cần thơ"
118,buôn ma thuột,đắk lắk,"buôn ma thuột, đắk lắk"
119,thường tín,hà nội,"thường tín, hà nội"
120,bến tre,bến tre,"bến tre, bến tre"
121,huế,thừa thiên huế,"huế, thừa thiên huế"
122,duy tiên,hà nam,"duy tiên, hà nam"
123,việt yên,bắc giang,"việt yên, bắc giang"
124,đạ huoai,lâm đồng,"đạ huoai, lâm đồng"
125,phú quốc,kiên giang,"phú quốc, kiên giang"
126,bạc liêu,bạc liêu,"bạc liêu, bạc liêu"
127,vĩnh cửu,đồng nai,"vĩnh cửu, đồng nai"
128,trảng bàng,tây ninh,"trảng bàng, tây ninh"
129,ứng hòa,hà nội,"ứng hòa, hà nội"
130,kiến an,hải phòng,"kiến an, hải phòng"
131,ninh phước,ninh thuận,"ninh phước, ninh thuận"
132,phúc yên,vĩnh phúc,"phúc yên, vĩnh phúc"
133,bàu bàng,bình dương,"bàu bàng, bình dương"
134,sa pa,lào cai,"sa pa, lào cai"
135,sầm sơn,thanh hóa,"sầm sơn, thanh hóa"
136,ninh hòa,khánh hòa,"ninh hòa, khánh hòa"
137,trảng bom,đồng nai,"trảng bom, đồng nai"
138,yên phong,bắc ninh,"yên phong, bắc ninh"
139,hàm thuận nam,bình thuận,"hàm thuận nam, bình thuận"
140,quế võ,bắc ninh,"quế võ, bắc ninh"
141,từ sơn,bắc ninh,"từ sơn, bắc ninh"
142,hòa vang,đà nẵng,"hòa vang, đà nẵng"
143,krông pắc,đắk lắk,"krông pắc, đắk lắk"
144,cư jút,đắk nông,"cư jút, đắk nông"
145,thái nguyên,thái nguyên,"thái nguyên, thái nguyên"
146,núi thành,quảng nam,"núi thành, quảng nam"
147,phan rang - tháp chàm,ninh thuận,"phan rang - tháp chàm, ninh thuận"
148,điện bàn,quảng nam,"điện bàn, quảng nam"
149,ninh bình,ninh bình,"ninh bình, ninh bình"
150,lương sơn,hòa bình,"lương sơn, hòa bình"
151,bù đốp,bình phước,"bù đốp, bình phước"
152,tân an,long an,"tân an, long an"
153,cam ranh,khánh hòa,"cam ranh, khánh hòa"
154,hà tiên,kiên giang,"hà tiên, kiên giang"
155,thống nhất,đồng nai,"thống nhất, đồng nai"
156,chương mỹ,hà nội,"chương mỹ, hà nội"
157,tiên du,bắc ninh,"tiên du, bắc ninh"
158,cái bè,tiền giang,"cái bè, tiền giang"
159,yên dũng,bắc giang,"yên dũng, bắc giang"
160,móng cái,quảng ninh,"móng cái, quảng ninh"
161,thạnh hóa,long an,"thạnh hóa, long an"
162,tân phước,tiền giang,"tân phước, tiền giang"
163,châu đốc,an giang,"châu đốc, an giang"
164,cao bằng,cao bằng,"cao bằng, cao bằng"
165,nam trực,nam định,"nam trực, nam định"
166,nam định,nam định,"nam định, nam định"
167,cao lãnh,đồng tháp,"cao lãnh, đồng tháp"
168,phú lộc,thừa thiên huế,"phú lộc, thừa thiên huế"
169,xuyên mộc,bà rịa vũng tàu,"xuyên mộc, bà rịa vũng tàu"
170,thanh hà,hải dương,"thanh hà, hải dương"
171,dương kinh,hải phòng,"dương kinh, hải phòng"
172,trà vinh,trà vinh,"trà vinh, trà vinh"
173,tứ kỳ,hải dương,"tứ kỳ, hải dương"
174,nam sách,hải dương,"nam sách, hải dương"
175,yên mô,ninh bình,"yên mô, ninh bình"
176,cần đước,long an,"cần đước, long an"
177,bảo lộc,lâm đồng,"bảo lộc, lâm đồng"
178,phủ lý,hà nam,"phủ lý, hà nam"
179,kim bảng,hà nam,"kim bảng, hà nam"
180,thái bình,thái bình,"thái bình, thái bình"
181,cư m'gar,đắk lắk,"cư m'gar, đắk lắk"
182,cẩm mỹ,đồng nai,"cẩm mỹ, đồng nai"
183,quảng ngãi,quảng ngãi,"quảng ngãi, quảng ngãi"
184,mỹ đức,hà nội,"mỹ đức, hà nội"
185,cẩm khê,phú thọ,"cẩm khê, phú thọ"
186,dầu tiếng,bình dương,"dầu tiếng, bình dương"
187,tuy phước,bình định,"tuy phước, bình định"
188,phú thọ,phú thọ,"phú thọ, phú thọ"
189,sơn tây,hà nội,"sơn tây, hà nội"
190,kỳ anh,hà tĩnh,"kỳ anh, hà tĩnh"
191,thanh liêm,hà nam,"thanh liêm, hà nam"
192,tân lạc,hòa bình,"tân lạc, hòa bình"
193,vân đồn,quảng ninh,"vân đồn, quảng ninh"
194,cam lâm,khánh hòa,"cam lâm, khánh hòa"
195,la gi,bình thuận,"la gi, bình thuận"
196,ba vì,hà nội,"ba vì, hà nội"
197,hưng yên,hưng yên,"hưng yên, hưng yên"
198,bình sơn,quảng ngãi,"bình sơn, quảng ngãi"
199,yên thủy,hòa bình,"yên thủy, hòa bình"
200,mộc châu,sơn la,"mộc châu, sơn la"
201,bảo lâm,lâm đồng,"bảo lâm, lâm đồng"
202,tuy an,phú yên,"tuy an, phú yên"
203,khoái châu,hưng yên,"khoái châu, hưng yên"
204,sông cầu,phú yên,"sông cầu, phú yên"
205,lâm hà,lâm đồng,"lâm hà, lâm đồng"
206,trần văn thời,cà mau,"trần văn thời, cà mau"
207,bình đại,bến tre,"bình đại, bến tre"
208,cần giờ,hồ chí minh,"cần giờ, hồ chí minh"
209,bến cầu,tây ninh,"bến cầu, tây ninh"
210,bình minh,vĩnh long,"bình minh, vĩnh long"
211,thanh thủy,phú thọ,"thanh thủy, phú thọ"
212,hải lăng,quảng trị,"hải lăng, quảng trị"
213,giao thủy,nam định,"giao thủy, nam định"
214,thọ xuân,thanh hóa,"thọ xuân, thanh hóa"
215,phổ yên,thái nguyên,"phổ yên, thái nguyên"
216,đông triều,quảng ninh,"đông triều, quảng ninh"
217,phù ninh,phú thọ,"phù ninh, phú thọ"
218,định quán,đồng nai,"định quán, đồng nai"
219,đại từ,thái nguyên,"đại từ, thái nguyên"
220,di linh,lâm đồng,"di linh, lâm đồng"
221,nghi sơn,thanh hóa,"nghi sơn, thanh hóa"
222,thăng bình,quảng nam,"thăng bình, quảng nam"
223,buôn đôn,đắk lắk,"buôn đôn, đắk lắk"
224,chưprông,gia lai,"chưprông, gia lai"
225,thái thuỵ,thái bình,"thái thuỵ, thái bình"
226,tam đảo,vĩnh phúc,"tam đảo, vĩnh phúc"
227,bình tân,vĩnh long,"bình tân, vĩnh long"
228,u minh,cà mau,"u minh, cà mau"
229,buôn hồ,đắk lắk,"buôn hồ, đắk lắk"
230,kiến tường,long an,"kiến tường, long an"
231,khánh vĩnh,khánh hòa,"khánh vĩnh, khánh hòa"
232,lập thạch,vĩnh phúc,"lập thạch, vĩnh phúc"
233,thủ thừa,long an,"thủ thừa, long an"
234,hải dương,hải dương,"hải dương, hải dương"
235,cẩm phả,quảng ninh,"cẩm phả, quảng ninh"
236,đông hưng,thái bình,"đông hưng, thái bình"
237,gia viễn,ninh bình,"gia viễn, ninh bình"
238,đông sơn,thanh hóa,"đông sơn, thanh hóa"
239,châu thành,tây ninh,"châu thành, tây ninh"
240,dăk mil,đắk nông,"dăk mil, đắk nông"
241,lục nam,bắc giang,"lục nam, bắc giang"
242,thuận nam,ninh thuận,"thuận nam, ninh thuận"
243,hàm thuận bắc,bình thuận,"hàm thuận bắc, bình thuận"
244,lục ngạn,bắc giang,"lục ngạn, bắc giang"
245,cư kuin,đắk lắk,"cư kuin, đắk lắk"
246,uông bí,quảng ninh,"uông bí, quảng ninh"
247,yên định,thanh hóa,"yên định, thanh hóa"
248,kim thành,hải dương,"kim thành, hải dương"
249,tuy hòa,phú yên,"tuy hòa, phú yên"
250,thạch thành,thanh hóa,"thạch thành, thanh hóa"
251,vạn ninh,khánh hòa,"vạn ninh, khánh hòa"
252,phú xuyên,hà nội,"phú xuyên, hà nội"
253,dăk r'lấp,đắk nông,"dăk r'lấp, đắk nông"
254,dương minh châu,tây ninh,"dương minh châu, tây ninh"
255,bắc kạn,bắc kạn,"bắc kạn, bắc kạn"
256,nga sơn,thanh hóa,"nga sơn, thanh hóa"
257,tân thạnh,long an,"tân thạnh, long an"
258,đồng hới,quảng bình,"đồng hới, quảng bình"
259,cà mau,cà mau,"cà mau, cà mau"
260,nam giang,quảng nam,"nam giang, quảng nam"
261,đồ sơn,hải phòng,"đồ sơn, hải phòng"
262,lấp vò,đồng tháp,"lấp vò, đồng tháp"
263,gò công tây,tiền giang,"gò công tây, tiền giang"
264,yên sơn,tuyên quang,"yên sơn, tuyên quang"
265,đồng xoài,bình phước,"đồng xoài, bình phước"
266,đức huệ,long an,"đức huệ, long an"
267,hải hậu,nam định,"hải hậu, nam định"
268,xuân lộc,đồng nai,"xuân lộc, đồng nai"
269,vĩnh yên,vĩnh phúc,"vĩnh yên, vĩnh phúc"
270,nho quan,ninh bình,"nho quan, ninh bình"
271,kim bôi,hòa bình,"kim bôi, hòa bình"
272,tiền hải,thái bình,"tiền hải, thái bình"
273,bình long,bình phước,"bình long, bình phước"
274,phú riềng,bình phước,"phú riềng, bình phước"
275,lâm thao,phú thọ,"lâm thao, phú thọ"
276,dăk song,đắk nông,"dăk song, đắk nông"
277,vĩnh hưng,long an,"vĩnh hưng, long an"
278,nông cống,thanh hóa,"nông cống, thanh hóa"
279,tam dương,vĩnh phúc,"tam dương, vĩnh phúc"
280,quảng xương,thanh hóa,"quảng xương, thanh hóa"
281,lạc sơn,hòa bình,"lạc sơn, hòa bình"
282,mỹ tho,tiền giang,"mỹ tho, tiền giang"
283,tân trụ,long an,"tân trụ, long an"
284,phúc thọ,hà nội,"phúc thọ, hà nội"
285,lạc dương,lâm đồng,"lạc dương, lâm đồng"
286,đông hòa,phú yên,"đông hòa, phú yên"
287,gio linh,quảng trị,"gio linh, quảng trị"
288,lào cai,lào cai,"lào cai, lào cai"
289,bố trạch,quảng bình,"bố trạch, quảng bình"
290,sơn tịnh,quảng ngãi,"sơn tịnh, quảng ngãi"
291,châu thành,bến tre,"châu thành, bến tre"
292,kiến thụy,hải phòng,"kiến thụy, hải phòng"
293,bù đăng,bình phước,"bù đăng, bình phước"
294,duy xuyên,quảng nam,"duy xuyên, quảng nam"
295,chợ gạo,tiền giang,"chợ gạo, tiền giang"
296,hiệp hòa,bắc giang,"hiệp hòa, bắc giang"
297,krông buk,đắk lắk,"krông buk, đắk lắk"
298,bắc bình,bình thuận,"bắc bình, bình thuận"
299,tuy phong,bình thuận,"tuy phong, bình thuận"
300,tam kỳ,quảng nam,"tam kỳ, quảng nam"
301,hàm tân,bình thuận,"hàm tân, bình thuận"
302,ngọc lặc,thanh hóa,"ngọc lặc, thanh hóa"
303,tam nông,phú thọ,"tam nông, phú thọ"
304,hoằng hóa,thanh hóa,"hoằng hóa, thanh hóa"
305,châu thành,long an,"châu thành, long an"
306,tân châu,tây ninh,"tân châu, tây ninh"
307,ân thi,hưng yên,"ân thi, hưng yên"
308,tánh linh,bình thuận,"tánh linh, bình thuận"
309,đức trọng,lâm đồng,"đức trọng, lâm đồng"
310,lộc ninh,bình phước,"lộc ninh, bình phước"
311,ia grai,gia lai,"ia grai, gia lai"
312,long xuyên,an giang,"long xuyên, an giang"
313,yên lạc,vĩnh phúc,"yên lạc, vĩnh phúc"
314,tân sơn,phú thọ,"tân sơn, phú thọ"
315,tân phú,đồng nai,"tân phú, đồng nai"
316,đại lộc,quảng nam,"đại lộc, quảng nam"
317,yên thế,bắc giang,"yên thế, bắc giang"
318,cát hải,hải phòng,"cát hải, hải phòng"
319,vân canh,bình định,"vân canh, bình định"
320,plei ku,gia lai,"plei ku, gia lai"
321,tiên yên,quảng ninh,"tiên yên, quảng ninh"
322,huyện cai lậy,tiền giang,"huyện cai lậy, tiền giang"
323,hòa bình,hòa bình,"hòa bình, hòa bình"
324,cao phong,hòa bình,"cao phong, hòa bình"
325,ea h'leo,đắk lắk,"ea h'leo, đắk lắk"
326,phú vang,thừa thiên huế,"phú vang, thừa thiên huế"
327,hòa thành,tây ninh,"hòa thành, tây ninh"
328,sa đéc,đồng tháp,"sa đéc, đồng tháp"
329,phong điền,cần thơ,"phong điền, cần thơ"
330,châu thành,tiền giang,"châu thành, tiền giang"
331,thanh sơn,phú thọ,"thanh sơn, phú thọ"
332,bình xuyên,vĩnh phúc,"bình xuyên, vĩnh phúc"
333,huyện hồng ngự,đồng tháp,"huyện hồng ngự, đồng tháp"
334,gò công đông,tiền giang,"gò công đông, tiền giang"
335,đồng phú,bình phước,"đồng phú, bình phước"
336,hưng hà,thái bình,"hưng hà, thái bình"
337,gò công,tiền giang,"gò công, tiền giang"
338,tam bình,vĩnh long,"tam bình, vĩnh long"
339,hương thủy,thừa thiên huế,"hương thủy, thừa thiên huế"
340,tư nghĩa,quảng ngãi,"tư nghĩa, quảng ngãi"
341,trà ôn,vĩnh long,"trà ôn, vĩnh long"
342,phụng hiệp,hậu giang,"phụng hiệp, hậu giang"
343,tân yên,bắc giang,"tân yên, bắc giang"
344,nghi lộc,nghệ an,"nghi lộc, nghệ an"
345,đà bắc,hòa bình,"đà bắc, hòa bình"
346,đạ tẻh,lâm đồng,"đạ tẻh, lâm đồng"
347,thạnh phú,bến tre,"thạnh phú, bến tre"
348,bình lục,hà nam,"bình lục, hà nam"
349,đơn dương,lâm đồng,"đơn dương, lâm đồng"
350,mộ đức,quảng ngãi,"mộ đức, quảng ngãi"
351,càng long,trà vinh,"càng long, trà vinh"
352,bắc hà,lào cai,"bắc hà, lào cai"
353,gia bình,bắc ninh,"gia bình, bắc ninh"
354,mỏ cày nam,bến tre,"mỏ cày nam, bến tre"
355,chợ lách,bến tre,"chợ lách, bến tre"
356,chư sê,gia lai,"chư sê, gia lai"
357,vĩnh lợi,bạc liêu,"vĩnh lợi, bạc liêu"
358,đoan hùng,phú thọ,"đoan hùng, phú thọ"
359,phù cát,bình định,"phù cát, bình định"
360,lý sơn,quảng ngãi,"lý sơn, quảng ngãi"
361,cửa lò,nghệ an,"cửa lò, nghệ an"
362,bác ái,ninh thuận,"bác ái, ninh thuận"
363,châu thành,đồng tháp,"châu thành, đồng tháp"
364,chư păh,gia lai,"chư păh, gia lai"
365,sóc trăng,sóc trăng,"sóc trăng, sóc trăng"
366,chợ mới,an giang,"chợ mới, an giang"
367,thái hòa,nghệ an,"thái hòa, nghệ an"
368,lạc thủy,hòa bình,"lạc thủy, hòa bình"
369,kinh môn,hải dương,"kinh môn, hải dương"
370,krông năng,đắk lắk,"krông năng, đắk lắk"
371,sơn la,sơn la,"sơn la, sơn la"
372,huyện cao lãnh,đồng tháp,"huyện cao lãnh, đồng tháp"
373,gia nghĩa,đắk nông,"gia nghĩa, đắk nông"
374,dăk glong,đắk nông,"dăk glong, đắk nông"
375,lương tài,bắc ninh,"lương tài, bắc ninh"
376,vĩnh long,vĩnh long,"vĩnh long, vĩnh long"
377,gia lộc,hải dương,"gia lộc, hải dương"
378,hạ hòa,phú thọ,"hạ hòa, phú thọ"
379,đăk hà,kon tum,"đăk hà, kon tum"
380,long hồ,vĩnh long,"long hồ, vĩnh long"
381,vĩnh bảo,hải phòng,"vĩnh bảo, hải phòng"
382,phong điền,thừa thiên huế,"phong điền, thừa thiên huế"
383,kbang,gia lai,"kbang, gia lai"
384,tuyên quang,tuyên quang,"tuyên quang, tuyên quang"
385,yên lập,phú thọ,"yên lập, phú thọ"
386,mỏ cày bắc,bến tre,"mỏ cày bắc, bến tre"
387,phù cừ,hưng yên,"phù cừ, hưng yên"
388,trần đề,sóc trăng,"trần đề, sóc trăng"
389,an minh,kiên giang,"an minh, kiên giang"
390,nghi xuân,hà tĩnh,"nghi xuân, hà tĩnh"
391,tân phú đông,tiền giang,"tân phú đông, tiền giang"
392,hưng nguyên,nghệ an,"hưng nguyên, nghệ an"
393,mai châu,hòa bình,"mai châu, hòa bình"
394,bát xát,lào cai,"bát xát, lào cai"
395,hoàng mai,nghệ an,"hoàng mai, nghệ an"
396,cẩm giàng,hải dương,"cẩm giàng, hải dương"
397,vũ thư,thái bình,"vũ thư, thái bình"
398,lăk,đắk lắk,"lăk, đắk lắk"
399,nghĩa hưng,nam định,"nghĩa hưng, nam định"
400,phú bình,thái nguyên,"phú bình, thái nguyên"
401,tuy đức,đắk nông,"tuy đức, đắk nông"
402,châu thành,hậu giang,"châu thành, hậu giang"
403,ninh sơn,ninh thuận,"ninh sơn, ninh thuận"
404,sông hinh,phú yên,"sông hinh, phú yên"
405,sơn hòa,phú yên,"sơn hòa, phú yên"
406,phú hòa,phú yên,"phú hòa, phú yên"
407,kon plông,kon tum,"kon plông, kon tum"
408,an nhơn,bình định,"an nhơn, bình định"
409,châu thành,kiên giang,"châu thành, kiên giang"
410,đô lương,nghệ an,"đô lương, nghệ an"
411,châu thành a,hậu giang,"châu thành a, hậu giang"
412,vĩnh thạnh,cần thơ,"vĩnh thạnh, cần thơ"
413,ngã bảy,hậu giang,"ngã bảy, hậu giang"
414,thới lai,cần thơ,"thới lai, cần thơ"
415,cầu ngang,trà vinh,"cầu ngang, trà vinh"
416,phú ninh,quảng nam,"phú ninh, quảng nam"
417,bỉm sơn,thanh hóa,"bỉm sơn, thanh hóa"
